iter	Logloss
0	0.6826859898
1	0.6716699592
2	0.6615020518
3	0.65201332
4	0.6423512303
5	0.6331404468
6	0.6238648984
7	0.6151154876
8	0.6062917421
9	0.5982561042
10	0.5901627052
11	0.5826696963
12	0.5747052423
13	0.5672235327
14	0.5604002813
15	0.5535317539
16	0.5467074819
17	0.5401134702
18	0.5341487764
19	0.5281834418
20	0.5221813863
21	0.5163149848
22	0.5109415798
23	0.5053868676
24	0.5000060687
25	0.4947821005
26	0.4898534419
27	0.4850431126
28	0.4804258424
29	0.4756522667
30	0.4709079265
31	0.46652262
32	0.4620661869
33	0.4590085612
34	0.4551898684
35	0.4515514334
36	0.448946639
37	0.4462876761
38	0.442671559
39	0.4399715039
40	0.4364753482
41	0.4331944162
42	0.4295490317
43	0.4264004837
44	0.4231269878
45	0.4202515386
46	0.4172675307
47	0.4143044678
48	0.4114484402
49	0.4096781904
50	0.4069583881
51	0.4052109506
52	0.4026326572
53	0.401007866
54	0.398522405
55	0.3963049483
56	0.3939879295
57	0.3923477376
58	0.3900394695
59	0.3878425396
60	0.3858848121
61	0.3839008031
62	0.3817124099
63	0.3803131919
64	0.3790735308
65	0.377834753
66	0.3765949659
67	0.3748690266
68	0.373180253
69	0.3714306645
70	0.3703524346
71	0.3686471824
72	0.3676088555
73	0.3661270851
74	0.3651093443
75	0.3641019879
76	0.3625731585
77	0.3615550607
78	0.3605847196
79	0.3591121358
80	0.3576540505
81	0.356207093
82	0.3549581168
83	0.3536139061
84	0.3525088591
85	0.3511734261
86	0.3500761905
87	0.3489953593
88	0.3483092177
89	0.3471446745
90	0.3460642424
91	0.3449818789
92	0.343919868
93	0.3429628595
94	0.3420302472
95	0.3414438828
96	0.3404404507
97	0.3395439443
98	0.3386017468
99	0.3376932254
100	0.337199217
101	0.3363253331
102	0.3353862404
103	0.3349130576
104	0.3344600834
105	0.3339621027
106	0.3333488671
107	0.3325221175
108	0.3318199727
109	0.3314050219
110	0.3309342635
111	0.3305405158
112	0.3297720891
113	0.3289533836
114	0.3285265784
115	0.327816087
116	0.3270615696
117	0.3263754575
118	0.3258945662
119	0.3254824045
120	0.3250846996
121	0.3244315179
122	0.3240809883
123	0.3237242617
124	0.3231020364
125	0.322432342
126	0.3221362383
127	0.3218109253
128	0.3215505931
129	0.3212759241
130	0.3209645832
131	0.320478746
132	0.3201965781
133	0.3196883954
134	0.319386632
135	0.3188563023
136	0.3185736104
137	0.3183316713
138	0.3178822289
139	0.3174347703
140	0.3170544999
141	0.3168413718
142	0.3165120967
143	0.3161430581
144	0.3157165315
145	0.3152600027
146	0.3147722852
147	0.3143050596
148	0.3139288375
149	0.3137297623
150	0.3134403612
151	0.313115021
152	0.312743903
153	0.3122771221
154	0.3119361409
155	0.3115804745
156	0.3112606381
157	0.3108743046
158	0.3104928435
159	0.3101588732
160	0.3099132097
161	0.3097179335
162	0.3093661408
163	0.309064737
164	0.3088344968
165	0.3086894544
166	0.3083925715
167	0.3080499586
168	0.3077110174
169	0.307577761
170	0.3072941981
171	0.3069640105
172	0.3066330395
173	0.3063982718
174	0.3062491488
175	0.3060775369
176	0.3059026139
177	0.3057117219
178	0.3055955493
179	0.3053099368
180	0.305003993
181	0.3047283311
182	0.3044607907
183	0.3041282687
184	0.3039629913
185	0.303643515
186	0.3033736844
187	0.3031944959
188	0.303037077
189	0.3027601505
190	0.3025752305
191	0.3023118418
192	0.3022687207
193	0.3021153379
194	0.3019667477
195	0.3017821474
196	0.3015622859
197	0.3013918513
198	0.301164861
199	0.3009692527
200	0.3008395362
201	0.3006589676
202	0.3004496322
203	0.3003137266
204	0.3000672051
205	0.2997377646
206	0.2996212898
207	0.2993641121
208	0.2991242297
209	0.2988642397
210	0.2986997119
211	0.2984487474
212	0.2981976138
213	0.298011552
214	0.2977895879
215	0.2975227951
216	0.2973347592
217	0.2971322333
218	0.2968486121
219	0.2967904274
220	0.2965946869
221	0.2963911472
222	0.2963177463
223	0.296189786
224	0.2960953724
225	0.2959153947
226	0.2957512995
227	0.2955701922
228	0.295463851
229	0.2952655575
230	0.2951106563
231	0.2949095537
232	0.2947741147
233	0.2946701456
234	0.2945392287
235	0.2943387849
236	0.2941447567
237	0.2940518441
238	0.2939330039
239	0.2937531716
240	0.2934946204
241	0.2933173665
242	0.2932163147
243	0.2930641623
244	0.292975005
245	0.2927684818
246	0.2925930368
247	0.2924698493
248	0.2923702536
249	0.292252825
250	0.29208144
251	0.2919246064
252	0.2917252223
253	0.2915246145
254	0.2914492802
255	0.2912791475
256	0.291108006
257	0.2909724107
258	0.2908518128
259	0.2907122069
260	0.290516081
261	0.2903059791
262	0.290222542
263	0.2900604457
264	0.2899129672
265	0.2897269416
266	0.2895757632
267	0.2894205573
268	0.2893080642
269	0.2892121537
270	0.2890435649
271	0.2888462221
272	0.2887107842
273	0.2885999117
274	0.2883978849
275	0.2882726299
276	0.2881035954
277	0.2880245034
278	0.2879251786
279	0.2877405006
280	0.2876607475
281	0.2875218103
282	0.2873887102
283	0.28716237
284	0.287147873
285	0.2869493006
286	0.2867832204
287	0.2866771563
288	0.2865310521
289	0.286408407
290	0.2862756983
291	0.2862441877
292	0.2861175841
293	0.2859603362
294	0.285789502
295	0.2856376032
296	0.2855328981
297	0.2854262923
298	0.2852701203
299	0.2851642513
300	0.2850218347
301	0.2849258833
302	0.2847778553
303	0.2846463115
304	0.2844924766
305	0.2843256596
306	0.2841807209
307	0.2839884472
308	0.2839094911
309	0.2837980647
310	0.2836972599
311	0.2835892204
312	0.2834568994
313	0.2832877002
314	0.2832032236
315	0.2830827503
316	0.2829976947
317	0.2828860753
318	0.2827767033
319	0.2826420445
320	0.2825552306
321	0.2824835366
322	0.2823768823
323	0.2822699992
324	0.282137369
325	0.2820460187
326	0.2819244858
327	0.2817862586
328	0.2817298102
329	0.2815804398
330	0.2814319343
331	0.2812925382
332	0.2811114422
333	0.2810142477
334	0.2808204236
335	0.2806616242
336	0.2805288016
337	0.2804150346
338	0.2802793962
339	0.2801626368
340	0.280061501
341	0.279963357
